P02_P14,14,P02,"Using GitLens to learn who has contributed code to the area seeing issues with to know who to reach out to, and who has touched it last","P02:Using GitLens to learn who has contributed code to the area seeing issues with to know who to reach out to, and who has touched it last"
P02_P14,27,P14,Asking for help in a topic appropriate chat room if anyone has seen something like this,P14:Asking for help in a topic appropriate chat room if anyone has seen something like this
P02_P14,17,P02,Asking for help about a technology and problem space that you aren’t super familiar with,P02:Asking for help about a technology and problem space that you aren’t super familiar with
P02_P14,20,P02,"Describing the problem to the expert, and what you’re trying to implement, and the frameworks and architecture, and asking what’s the best way to approach that?","P02:Describing the problem to the expert, and what you’re trying to implement, and the frameworks and architecture, and asking what’s the best way to approach that?"
P02_P14,22,P02,"Being asked questions about an area you’ve worked on in the past, that the rest of the team hasn’t really touched","P02:Being asked questions about an area you’ve worked on in the past, that the rest of the team hasn’t really touched"
P02_P14,16,P02,"Describing problem where to-dos in the code have been there 5-10+ years and not knowing if it’s still needed, or whether you should care","P02:Describing problem where to-dos in the code have been there 5-10+ years and not knowing if it’s still needed, or whether you should care"
P02_P14,24,P14,Troubleshooting using internal tool similar to stack overflow for question answering,P14:Troubleshooting using internal tool similar to stack overflow for question answering
P02_P14,15,P02,Writing to-dos with putting your name on the to-do so somebody knows who to reach out to,P02:Writing to-dos with putting your name on the to-do so somebody knows who to reach out to
P02_P14,25,P14,Asking someone with more experience if they’ve seen something like this before,P14:Asking someone with more experience if they’ve seen something like this before
P02_P14,26,P14,"Asking around if someone can rubber duck with me, when absolutely stuck","P14:Asking around if someone can rubber duck with me, when absolutely stuck"
P02_P14,13,P02,Asking for help using chat messages,P02:Asking for help using chat messages
P02_P14,31,P14,"Situation where know of someone who is super super familiar, usually through word of mouth knowledge","P14:Situation where know of someone who is super super familiar, usually through word of mouth knowledge"
P02_P14,23,P02,Reaching out by initially sending an email,P02:Reaching out by initially sending an email
P02_P14,29,P14,"Situation where something is broken, will file an issue / bug report","P14:Situation where something is broken, will file an issue / bug report"
P02_P14,32,P14,Teams of specialists like security who can ask when a problem is related to security,P14:Teams of specialists like security who can ask when a problem is related to security
P02_P14,21,P02,"Transitioning from an email conversation to a phone call, to a repo link, to an hour-long lab of poking at it, then back and forth conversation to make sure you are understanding everything","P02:Transitioning from an email conversation to a phone call, to a repo link, to an hour-long lab of poking at it, then back and forth conversation to make sure you are understanding everything"
P02_P14,30,P14,Posting in a broad enough forum chat such that anyone who has a spare moment that saw the message can self-select to help,P14:Posting in a broad enough forum chat such that anyone who has a spare moment that saw the message can self-select to help
P02_P14,18,P02,Asking for help to learn the best way to do it,P02:Asking for help to learn the best way to do it
P02_P14,12,P02,Asking for help by generally asking “does anybody know who would be good to talk to about this?”,P02:Asking for help by generally asking “does anybody know who would be good to talk to about this?”
P02_P14,28,P14,"Situation where troubleshooting is within team’s immediate area of expertise, will ask in chat room, and people are usually helpful","P14:Situation where troubleshooting is within team’s immediate area of expertise, will ask in chat room, and people are usually helpful"
P02_P14,19,P02,Identifying who to ask for help by finding the person who wrote the docs and asking them,P02:Identifying who to ask for help by finding the person who wrote the docs and asking them
P04_P23,200,P04,Community member asking for help via discord community posting a question,P04:Community member asking for help via discord community posting a question
P04_P23,203,P23,Reaching out for help to the folks closest on the team who have a vested interest in the task,P23:Reaching out for help to the folks closest on the team who have a vested interest in the task
P04_P23,208,P23,"When don’t know who to ask, put out public calls in team’s public channel asking the team collective who might be an expert","P23:When don’t know who to ask, put out public calls in team’s public channel asking the team collective who might be an expert"
P04_P23,207,P23,Looking at what projects are currently in flight if it’s related,P23:Looking at what projects are currently in flight if it’s related
P04_P23,204,P23,"Even if the experts are on another team, don’t want to interrupt the other team until we see if within team can solve it first","P23:Even if the experts are on another team, don’t want to interrupt the other team until we see if within team can solve it first"
P04_P23,199,P04,Asking for help based on who has touched that area of the code most recently,P04:Asking for help based on who has touched that area of the code most recently
P04_P23,201,P23,Using escalation channels to figure out who is currently assigned to assist with troubleshooting,P23:Using escalation channels to figure out who is currently assigned to assist with troubleshooting
P04_P23,206,P23,Looking for who has been touching the code via git blame or git credit,P23:Looking for who has been touching the code via git blame or git credit
P04_P23,202,P23,"When on call, reaching out via slack to the person most expert in the system, and also notifying in engineering public channel","P23:When on call, reaching out via slack to the person most expert in the system, and also notifying in engineering public channel"
P04_P23,198,P04,"Typically physically walk over to them, hasn’t done much remote","P04:Typically physically walk over to them, hasn’t done much remote"
P04_P23,205,P23,Looking for who is the expert in the code or expert in a class of problems,P23:Looking for who is the expert in the code or expert in a class of problems
P06_P19,339,P06,Uses “teams” and “Skype” to reach out to team members by sending a direct message,P06:Uses “teams” and “Skype” to reach out to team members by sending a direct message
P06_P19,342,P06,"Decides who to ask by who knows it, who has worked on it, who has time, and who is liked better","P06:Decides who to ask by who knows it, who has worked on it, who has time, and who is liked better"
P06_P19,340,P06,Asks the person who knows stuff well as the main reason.,P06:Asks the person who knows stuff well as the main reason.
P06_P19,343,P19,Deciding to ask the person for help who setup the initial code to begin with,P19:Deciding to ask the person for help who setup the initial code to begin with
P06_P19,341,P06,"Asks the person who is more pleasant to talk to, and avoids grumpy team members","P06:Asks the person who is more pleasant to talk to, and avoids grumpy team members"
